date,time,value
14/06/2013,12:04:00,-1.0
14/06/2013,12:06:00,-1.0
01/07/2013,23:54:00,-1.0
01/07/2013,09:09:00,-1.0
01/08/2013,23:54:00,-1.0
27/08/2013,09:04:00,-1.0
27/08/2013,09:08:00,-1.0
01/09/2013,21:04:00,-1.0
15/09/2013,09:04:00,-1.0
15/09/2013,09:08:00,-1.0
01/10/2013,23:54:00,-1.0
30/10/2013,09:04:00,-1.0
30/10/2013,09:08:00,-1.0
01/11/2013,23:54:00,-1.0
08/11/2013,09:04:00,-1.0
08/11/2013,09:08:00,-1.0
14/11/2013,23:54:00,-1.0
15/11/2013,09:04:00,-1.0
15/11/2013,09:08:00,-1.0
19/11/2013,09:04:00,-1.0
19/11/2013,10:08:00,-1.0
20/11/2013,09:04:00,-1.0
20/11/2013,10:08:00,-1.0
20/11/2013,16:04:00,-1.0
